PLAYER_ID,PLAYER_NAME,POSITION,TEAM,AGE,GAMES,GAMES_STARTED,MIN_TOTAL,PTS,REB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,USAGE_RATE,DWS,OWS,WS,WS_48,PER,TS_PCT,BPM,OBPM,DBPM,PLUS_MINUS,WIN_PCT,NET_RATING
237,Sion James,SG,CHO,23,54,18,1298,5.7,3.4,1.9,0.6,0.3,0.9,1.8,0.378,0.363,0.855,10.8,1,0.6,1.7,0.062,7.7,0.542,-2.8,-3.3,0.5,-3.6344,0.458,-4.199999999999999
238,Jaden Ivey,SG,2TM,23,36,5,642,8.5,2.4,1.8,0.6,0.4,1.1,1.4,0.445,0.38,0.804,19.9,0.8,0.5,1.3,0.097,13.1,0.573,0,-0.3,0.2,0,0.5,0
239,Brook Lopez,C,LAC,37,46,11,837,6.6,2.7,0.9,0.5,1,0.8,1.7,0.378,0.346,0.853,17.5,0.8,-0.4,0.5,0.028,10.1,0.521,-2.3,-2.6,0.3,-1.9250999999999998,0.4655,-3.4499999999999997
240,Daniel Gafford,C,DAL,27,37,27,786,8.2,6.5,0.9,0.8,1.4,1.3,2.6,0.634,NA,0.755,14.5,1.3,1.2,2.5,0.154,16.8,0.675,0,-2,2,0,0.5,0
241,Domantas Sabonis,C,SAC,29,19,15,564,15.8,11.4,4.1,0.9,0.2,2.7,3.5,0.543,0.185,0.727,23.1,0.5,0.7,1.2,0.099,19.3,0.59,0.5,0.7,-0.2,0.282,0.5075,0.75
242,Oso Ighodaro,PF,PHO,23,54,7,1085,5.5,4.6,1.8,0.9,0.6,1.3,2.6,0.624,0,0.493,12,1.6,0.7,2.3,0.103,12.3,0.616,-0.9,-3.1,2.2,-0.9765,0.4865,-1.35
243,Jordan Miller,SF,LAC,26,32,0,635,9.3,3.2,1.7,0.7,0.2,1.2,1,0.515,0.362,0.787,19.1,0.5,1,1.5,0.112,15.9,0.631,0.3,0.8,-0.5,0.1905,0.5045,0.44999999999999996
244,Jaxson Hayes,C,LAL,25,44,6,762,6.7,3.8,0.9,0.4,0.6,0.5,2,0.771,1,0.641,12.2,0.6,2.2,2.8,0.175,16.9,0.768,0,0.1,0,0,0.5,0
245,Kristaps Porziņģis,C,ATL,30,17,12,413,17.1,5.1,2.7,0.5,1.3,0.9,3.2,0.457,0.36,0.84,26.5,0.4,0.9,1.4,0.161,20.5,0.592,3.2,2.6,0.6,1.3216,0.548,4.800000000000001
246,Ryan Dunn,SF,PHO,23,47,11,911,6.1,4.1,1.6,0.9,0.4,0.9,2.1,0.444,0.333,0.667,14.6,1.2,0.4,1.7,0.089,11.6,0.531,-0.9,-2,1,-0.8199000000000001,0.4865,-1.35
247,Herbert Jones,SF,NOP,27,32,32,916,8.9,3.6,2.7,1.6,0.5,1.3,3.2,0.39,0.305,0.775,15,0.6,-0.2,0.5,0.024,9.4,0.494,-3.2,-3.6,0.5,-2.9312000000000005,0.452,-4.800000000000001
248,Nae'Qwan Tomlin,PF,CLE,25,43,2,734,6.5,3.1,1,0.7,0.7,0.4,2.1,0.487,0.224,0.745,15.2,0.9,1,1.9,0.124,13.7,0.557,-0.9,-1.7,0.8,-0.6606,0.4865,-1.35
249,Landry Shamet,SG,NYK,28,29,8,634,9.6,1.9,1.4,0.5,0.2,0.4,1.4,0.439,0.424,0.723,15.9,0.5,1.2,1.7,0.128,12.8,0.616,0.9,1,-0.2,0.5706,0.5135,1.35
250,Keegan Murray,PF,SAC,25,19,18,683,14.6,6.1,1.5,1.2,1.6,1.2,1.9,0.429,0.272,0.789,18.6,0.4,-0.2,0.2,0.016,12,0.502,-2.8,-2,-0.8,-1.9124,0.458,-4.199999999999999
251,Ja'Kobe Walter,SG,TOR,21,44,10,808,6.3,2.2,1,0.9,0.2,0.5,2,0.43,0.35,0.8,14,1,0.6,1.5,0.091,10.2,0.57,-1.8,-2.8,1,-1.4544000000000001,0.473,-2.7
252,Vince Williams Jr.,PG,2TM,25,36,12,760,7.7,3.8,4.4,0.8,0.4,1.8,2.1,0.352,0.307,0.804,19.3,0.8,-0.3,0.4,0.028,10.8,0.477,-0.8,-1.6,0.8,-0.6080000000000001,0.488,-1.2000000000000002
253,GG Jackson II,PF,MEM,21,32,7,588,8.6,3.6,1.2,0.7,0.6,1,1.7,0.481,0.313,0.725,19,0.7,0.1,0.9,0.071,13.2,0.577,-1.7,-1.9,0.2,-0.9995999999999999,0.4745,-2.55
254,Ben Sheppard,SG,IND,24,43,13,920,6.4,3.2,1.8,0.5,0.1,0.6,1.8,0.398,0.338,0.771,13.2,0.5,0.3,0.8,0.042,8.6,0.526,-3.3,-3,-0.4,-3.036,0.4505,-4.949999999999999
255,Andre Drummond,C,PHI,32,39,19,780,7,8.7,0.9,0.5,0.9,1,2,0.502,0.373,0.629,15.2,1.2,1.2,2.4,0.146,17.3,0.565,-0.7,0,-0.7,-0.5459999999999999,0.4895,-1.0499999999999998
256,Spencer Jones,SF,DEN,24,46,34,1086,6,3.1,0.8,0.9,0.4,0.6,2.8,0.505,0.414,0.622,9.8,0.7,1.1,1.9,0.083,9.3,0.635,-2.6,-2.3,-0.3,-2.8236000000000003,0.461,-3.9000000000000004
257,Josh Okogie,SG,HOU,27,51,29,1012,5.3,2.9,0.9,0.9,0.2,0.7,1.6,0.438,0.388,0.6,11.5,1.2,0.8,2,0.096,10.1,0.559,-1.2,-2.3,1,-1.2144,0.482,-1.7999999999999998
258,Caris LeVert,SG,DET,31,35,0,689,7.7,1.8,2.9,0.9,0.7,1.3,1.5,0.434,0.327,0.679,17.7,1.1,0.2,1.3,0.09,12,0.539,0.4,-1.2,1.6,0.2756,0.506,0.6000000000000001
259,Tyrese Martin,SG,BRK,26,37,6,696,7.3,2.9,1.9,0.6,0.1,0.9,0.8,0.392,0.336,0.731,18.7,0.4,-0.1,0.3,0.022,10.9,0.507,-3,-1.5,-1.5,-2.088,0.455,-4.5
260,D'Angelo Russell,PG,DAL,29,26,3,495,10.2,2.3,4,0.5,0.1,1.9,1.2,0.405,0.295,0.717,26.1,0.4,-0.3,0.1,0.007,12.4,0.511,-2.2,-0.7,-1.5,-1.089,0.46699999999999997,-3.3000000000000003
261,Yves Missi,C,NOP,21,47,7,907,5.6,5.6,1.2,0.3,1.4,0.8,1.7,0.538,0,0.569,12.7,0.6,1.2,1.8,0.096,15,0.551,-2.3,-1.4,-0.9,-2.0861,0.4655,-3.4499999999999997
262,Jared McCain,SG,2TM,21,39,1,648,6.6,2.1,1.6,0.6,0.1,0.8,1.2,0.387,0.379,0.88,18.7,0.5,-0.2,0.4,0.027,9.4,0.506,-3.9,-2.9,-0.9,-2.5272,0.4415,-5.85
